date,calories,smoothed_weight_lbs,fm_lbs_weak,ffm_lbs_weak,weight_pred_lbs,fat_pct_weak,tdee_weak
2013-11-27,2422,,53.18,155.68,208.86,25.46,2092.7
2013-11-28,3120,,53.26,155.69,208.95,25.49,2093.1
2013-11-29,2685,,53.53,155.71,209.24,25.58,2093.3
2013-11-30,3377,,53.68,155.72,209.4,25.64,2093.7
2013-12-01,3024,,54.03,155.73,209.76,25.76,2094.0
2013-12-02,2078,,54.28,155.74,210.02,25.85,2094.2
2013-12-03,3580,,54.26,155.75,210.01,25.84,2094.6
2013-12-04,2925,,54.66,155.76,210.42,25.98,2094.8
2013-12-05,2564,,54.88,155.77,210.65,26.05,2095.1
2013-12-06,3072,,55.0,155.78,210.77,26.09,2095.4
2013-12-07,2131,,55.26,155.79,211.04,26.18,2095.6
2013-12-08,3575,,55.25,155.79,211.04,26.18,2095.9
2013-12-09,2158,,55.65,155.8,211.45,26.32,2096.1
2013-12-10,2275,,55.65,155.81,211.46,26.32,2096.3
2013-12-11,1577,,55.68,155.82,211.5,26.33,2096.6
2013-12-12,1654,,55.52,155.83,211.34,26.27,2096.8
2013-12-13,1825,,55.37,155.83,211.21,26.22,2097.1
2013-12-14,1753,,55.27,155.84,211.12,26.18,2097.3
2013-12-15,1375,,55.16,155.85,211.01,26.14,2097.5
2013-12-16,1991,,54.93,155.86,210.79,26.06,2097.8
2013-12-17,1907,,54.88,155.87,210.75,26.04,2098.0
2013-12-18,2996,,54.81,155.88,210.68,26.01,2098.3
2013-12-19,2100,,55.04,155.89,210.93,26.1,2098.5
2013-12-20,2258,,55.02,155.89,210.92,26.09,2098.8
2013-12-21,1986,,55.05,155.9,210.95,26.1,2099.0
2013-12-22,2047,,55.0,155.91,210.91,26.08,2099.3
2013-12-23,1771,,54.96,155.92,210.88,26.06,2099.5
2013-12-24,1641,,54.85,155.93,210.78,26.02,2099.8
2013-12-25,2787,,54.7,155.94,210.63,25.97,2100.1
2013-12-26,2644,,54.87,155.94,210.82,26.03,2100.3
2013-12-27,1360,,55.01,155.95,210.96,26.08,2100.5
2013-12-28,3051,,54.78,155.96,210.74,25.99,2100.8
2013-12-29,1890,,55.03,155.97,211.0,26.08,2101.0
2013-12-30,1831,,54.95,155.98,210.92,26.05,2101.2
2013-12-31,1876,,54.85,155.99,210.84,26.02,2101.5
2014-01-01,2139,,54.76,155.99,210.76,25.98,2101.8
2014-01-02,1330,,54.75,156.0,210.76,25.98,2102.0
2014-01-03,1840,,54.51,156.01,210.52,25.89,2102.3
2014-01-04,788,,54.42,156.02,210.44,25.86,2102.5
2014-01-05,1090,,54.02,156.03,210.05,25.72,2102.7
2014-01-06,1215,,53.71,156.04,209.75,25.61,2103.0
2014-01-07,1862,,53.44,156.05,209.48,25.51,2103.3
2014-01-08,1761,,53.35,156.06,209.4,25.48,2103.6
2014-01-09,1930,,53.23,156.07,209.29,25.43,2103.8
2014-01-10,1480,,53.16,156.08,209.23,25.41,2104.1
2014-01-11,2180,,52.96,156.09,209.04,25.33,2104.4
2014-01-12,1790,,52.96,156.1,209.05,25.33,2104.7
2014-01-13,1788,,52.85,156.11,208.95,25.29,2105.0
2014-01-14,2400,,52.73,156.12,208.85,25.25,2105.3
2014-01-15,2256,,52.8,156.13,208.92,25.27,2105.6
2014-01-16,1497,,52.82,156.14,208.96,25.28,2105.8
2014-01-17,2384,,52.62,156.15,208.77,25.21,2106.1
2014-01-18,2886,,52.68,156.16,208.84,25.22,2106.4
2014-01-19,1470,,52.88,156.17,209.05,25.3,2106.7
2014-01-20,1698,,52.68,156.18,208.86,25.22,2107.0
2014-01-21,2370,,52.54,156.19,208.73,25.17,2107.3
2014-01-22,2283,,52.59,156.2,208.79,25.19,2107.5
2014-01-23,2463,,52.62,156.21,208.83,25.2,2107.8
2014-01-24,2423,,52.7,156.22,208.92,25.22,2108.1
2014-01-25,3010,,52.76,156.23,208.99,25.25,2108.4
2014-01-26,3004,,53.0,156.24,209.24,25.33,2108.7
2014-01-27,1726,,53.23,156.25,209.48,25.41,2108.9
